facilityid,name,address,city,state,zip,telephone,type,status,population,county,countyfips,country,website,securelvl,capacity,geometry,cdcr_code,cdcr_firecamp,longitude,latitude,tract_geoid,average_2025_population,capacity_percent,capacity_percent_2025,year_opened,year_opened_notes,reentry_hub,planned_closure,california_model_facility,cdcr_air_cooling_pilot
10000864,Usp Lompoc,3901 Klein Blvd,Lompoc,CA,93436,(805) 735-2771,FEDERAL,OPEN,1903.0,SANTA BARBARA,06083,USA,https://www.bop.gov/locations/institutions/lom/,MEDIUM,,"POLYGON ((-120.507649420284 34.6806418240609, -120.507470959717 34.6808083865978, -120.50359243914 34.6808857193005, -120.503408031356 34.6807429510264, -120.503295006359 34.67774482986, -120.503503209306 34.6775723201065, -120.507334141357 34.6774890383884, -120.507566138566 34.6776377547786, -120.507649420284 34.6806418240609))",None,False,-120.50548010652062,34.679187474299496,06083980400,,,,,,,,,
10002351,Bell City Jail,6326 Pine Ave,Bell,CA,90201,(323) 585-1245,LOCAL,OPEN,,LOS ANGELES,06037,USA,NOT AVAILABLE,NOT AVAILABLE,,"POLYGON ((-118.188620636433 33.9792884995646, -118.188171897215 33.9792404101169, -118.188213660832 33.9789165876305, -118.188609227634 33.9789652661342, -118.188596155088 33.9790480460305, -118.188662468398 33.9790551407822, -118.188620636433 33.9792884995646))",None,False,-118.18841160133735,33.97910744065924,06037533601,,,,,,,,,
10000771,Alder Conservation Camp #20,1400 Alder Camp Road,Klamath,CA,95548,(707) 482-4511,STATE,OPEN,,DEL NORTE,06015,USA,https://www.cdcr.ca.gov/facility-locator/conservation-camps/alder/,MINIMUM,,"POLYGON ((-124.063276881323 41.5017010153896, -124.063191219999 41.5017961933397, -124.062300151031 41.5016625199094, -124.060759987383 41.5012566630646, -124.059333908133 41.5011569777124, -124.059286371769 41.5008579243538, -124.060170541138 41.5006158313556, -124.060645900288 41.5004306996171, -124.061197316903 41.5002954119038, -124.061558590756 41.5004306996171, -124.062557070253 41.5008066297223, -124.062934237825 41.5011299440917, -124.063276881323 41.5017010153896))",None,True,-124.06140266167719,41.501026054180684,06015000203,,,,,,,,,
10005258,Sugar Pine Conservation Camp #9,15905 Sugar Pine Camp Road,Bella Vista,CA,96008,(530) 472-3027,STATE,OPEN,,SHASTA,06089,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,,"POLYGON ((-122.092629325183 40.7449044642697, -122.093878203816 40.7459719397532, -122.093949644161 40.7467789373981, -122.092100021998 40.7470382955809, -122.091297188215 40.7452344129379, -122.09216179643 40.7446861142728, -122.092629325183 40.7449044642697))",None,True,-122.09261402825481,40.74594991511181,06089012606,,,,,,,,,
10000871,Mcc San Diego,808 Union Street,San Diego,CA,92101,(619) 232-4311,FEDERAL,OPEN,699.0,SAN DIEGO,06073,USA,https://www.bop.gov/locations/institutions/sdc/,MAXIMUM,,"POLYGON ((-117.166397429298 32.7142291718388, -117.1657429198 32.7142279622507, -117.165750111678 32.7136881648769, -117.166398867314 32.7137075299786, -117.166397429298 32.7142291718388))",None,False,-117.1660704622264,32.713963558611916,06073005302,,,,,,,,,
10005267,Salt Creek Conservation Camp #7,10655 Round Valley Road,Paskenta,CA,96074,(530) 833-5497,STATE,OPEN,,TEHAMA,06103,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,,"POLYGON ((-122.629061480803 39.8132586362771, -122.62873668525 39.8131765452614, -122.628251275276 39.8123092318856, -122.628142072399 39.8111080011334, -122.629175694702 39.8110100460768, -122.629846703163 39.8111563828608, -122.630628356114 39.8120736652675, -122.630735432094 39.8123128012948, -122.629832426425 39.8126304589286, -122.629707505197 39.8130873154273, -122.629111449833 39.812994516184, -122.629061480803 39.8132586362771))",None,True,-122.62925447861537,39.812020888558244,06103000300,,,,,,,,,
10005319,Owens Valley Conservation Camp #26,2781 South Round Valley Road,Bishop,CA,93514,(760) 387-2686,STATE,OPEN,,INYO,06027,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,,"POLYGON ((-118.553161165056 37.3891085022556, -118.551533613386 37.3904695533273, -118.54983943724 37.388956215557, -118.550905436037 37.3882994847335, -118.551305184686 37.3887563412322, -118.552361665958 37.3883470741582, -118.553161165056 37.3891085022556))",None,True,-118.55153489518936,37.38924437916502,06027000200,,,,,,,,,
10005362,Ventura Conservation Camp #46,2800 Wright Road,Camarillo,CA,93010,(805) 983-1332,STATE,OPEN,,VENTURA,06111,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,110.0,"POLYGON ((-119.105887211426 34.2463177411709, -119.106815201161 34.2457085988728, -119.107053147385 34.2457323940348, -119.107510003884 34.2454373408606, -119.107662288784 34.2456276967608, -119.107624217783 34.2458418487224, -119.106996040435 34.2464843028084, -119.106572495724 34.246874534832, -119.106505871249 34.246874534832, -119.105896728951 34.2464557502327, -119.105887211426 34.2463177411709))",None,True,-119.10677775352286,34.246176183785806,06111009300,,,,,,,,,
10000840,Prado Conservation Camp #28,14467 Central Avenue,Chino,CA,91710,(909) 597-3917,STATE,OPEN,,SAN BERNARDINO,06071,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,80.0,"POLYGON ((-117.688856434277 33.992162704745, -117.684833603988 33.9921403188207, -117.684802106132 33.990159212178, -117.688856434277 33.9902114448024, -117.688856434277 33.992162704745))",None,True,-117.68683207528085,33.99116711079797,06071012202,,,,,,,,,
10005275,Valley View Conservation Camp #34,3339 County Road 307,Elk Creek,CA,95939,(530) 968-5107,STATE,OPEN,107.0,GLENN,06021,USA,http://www.cdcr.ca.gov/Conservation_Camps/,MINIMUM,115.0,"POLYGON ((-122.722371538116 39.6517997187821, -122.722861273829 39.652375090638, -122.721395693656 39.6532269680502, -122.721210683326 39.6531822789391, -122.720804383116 39.6527549453845, -122.720771734128 39.6526823260286, -122.720757223567 39.6525761907387, -122.720760851432 39.6524477099938, -122.720811638846 39.6523778839323, -122.721228820853 39.6521237157369, -122.721526289607 39.651967303848, -122.721696791174 39.6519058558706, -122.721882093784 39.6518678298365, -122.721867290943 39.6518583743646, -122.721994259927 39.6518192709427, -122.722128483742 39.6518136852534, -122.722262707558 39.6518025120763, -122.722371538116 39.6517997187821))",None,True,-122.72173226828055,39.65246297492119,06021010300,,0.9304347826086956,,,,,,,
10000874,Western Region Detention Facility,220 West C Street,San Diego,CA,92101,(619) 232-9221,FEDERAL,OPEN,,SAN DIEGO,06073,USA,https://www.geogroup.com/FacilityDetail/FacilityID/37,MAXIMUM,770.0,"POLYGON ((-117.165525495205 32.7181243640482, -117.165267184733 32.7181243640482, -117.165261508212 32.7177135933077, -117.164891073864 32.7177159810078, -117.164876881663 32.7168514429398, -117.165532591756 32.7168430837414, -117.165525495205 32.7181243640482))",None,False,-117.16523774875971,32.7173817496747,06073005302,,,,,,,,,
10000849,Mesa Verde Ice Processing Center,425 Golden State Ave,Bakersfield,CA,93301,(661) 859-1028,MULTI,OPEN,,KERN,06029,USA,https://www.geogroup.com/FacilityDetail/FacilityID/64,MINIMUM,400.0,"POLYGON ((-119.006705796136 35.3796002476533, -119.006867130014 35.3795980793879, -119.006892837135 35.3802210874333, -119.006660500881 35.3802241523228, -119.006662340894 35.3802655427207, -119.006476207311 35.3802658970536, -119.00647793311 35.3803309782921, -119.006344125681 35.3803323902277, -119.006342353117 35.3802630057332, -119.006163290903 35.3802630057332, -119.006152653722 35.379972462659, -119.005731592039 35.379647948594, -119.00645050019 35.3790567378782, -119.006682749209 35.3790560148233, -119.006705796136 35.3796002476533))",None,False,-119.00641253053885,35.37971816195629,06029001600,,,,,,,,,
10000897,Glendale City Jail,131 N Isabel St,Glendale,CA,91206,(818) 548-3124,LOCAL,OPEN,,LOS ANGELES,06037,USA,https://www.glendaleca.gov/government/departments/police-department/jail-information,MINIMUM,96.0,"POLYGON ((-118.250023680149 34.1477148363707, -118.248954034601 34.1477188113741, -118.248939757864 34.1468318666974, -118.249450999064 34.1468155206198, -118.249428738146 34.1473850918485, -118.250035499938 34.1473886612578, -118.250023680149 34.1477148363707))",None,False,-118.2493590354608,34.14735399725111,06037302002,,,,,,,,,
10000911,Torrance City Jail,3300 Civic Center Dr,Torrance,CA,90503,(310) 328-3456,LOCAL,OPEN,,LOS ANGELES,06037,USA,https://www.torranceca.gov/our-city/police,NOT AVAILABLE,,"POLYGON ((-118.342711521719 33.8399714888931, -118.342435503596 33.8399714888931, -118.34244502202 33.8401523281675, -118.341940576996 33.8401523281675, -118.341921541046 33.8396478831433, -118.342702004194 33.8396193287691, -118.342711521719 33.8399714888931))",None,False,-118.34228828447391,33.83986898172371,06037650401,,,,,,,,,
10000777,Sutter County Jail,1077 Civic Center Boulevard,Yuba City,CA,95993,(530) 822-7307,COUNTY,OPEN,,SUTTER,06101,USA,https://www.suttersheriff.org/divisions/jail-division,MAXIMUM,352.0,"POLYGON ((-121.638865760446 39.1431175397427, -121.637479441123 39.1431175397427, -121.637479441123 39.1431974409092, -121.636760524878 39.1431974409092, -121.636561200039 39.1431105915806, -121.636901621313 39.1426746092459, -121.637490638582 39.1426746092459, -121.637490638582 39.1425113319325, -121.638863520235 39.1425113319325, -121.638865760446 39.1431175397427))",None,False,-121.63782617479471,39.14285926968739,06101050604,,,,,,,,,
10000823,Tulare County Men'S Correctional Facility,36168  Road 112,Visalia,CA,93291,(559) 735-1650,COUNTY,OPEN,349.0,TULARE,06107,USA,http://tularecounty.ca.gov/sheriff/index.cfm/detentions1/detentions-operations/,NOT AVAILABLE,,"POLYGON ((-119.320326963219 36.4444349772924, -119.321117247863 36.4450778756435, -119.321149929226 36.4450563665581, -119.321435144716 36.4452929709939, -119.321506449263 36.4455152357396, -119.321512108697 36.4456125468816, -119.320490368236 36.4456347322571, -119.320288340035 36.4456466824485, -119.319708995873 36.4452188830451, -119.319908052714 36.4450611473541, -119.319566387679 36.4450730957468, -119.319533707215 36.4445210163319, -119.319931820897 36.4445090661405, -119.319931820897 36.4444349772924, -119.320083342272 36.4444325868944, -119.320113052276 36.4443608884443, -119.320154645021 36.4443369889609, -119.320261601392 36.4443322090643, -119.320353701862 36.444413468207, -119.320326963219 36.4444349772924))",None,False,-119.32043337950853,36.44508173488965,06107000902,,,,,,,,,
10005263,Antelope Conservation Camp #25,711-045 Center Road,Susanville,CA,96127,(530) 257-2181,STATE,OPEN,,LASSEN,06035,USA,https://www.cdcr.ca.gov/facility-locator/conservation-camps/antelope/,MINIMUM,,"POLYGON ((-120.511078296026 40.4016133894464, -120.511290696109 40.4023275932439, -120.511245328009 40.402342930282, -120.511235141389 40.4023593617952, -120.510646886744 40.4026363367976, -120.510439790864 40.402388585265, -120.510199661085 40.4021001753828, -120.51019916466 40.402096366754, -120.510034493397 40.4019464407756, -120.5097486241 40.4018143060854, -120.509560585752 40.4017571325856, -120.509275988096 40.4017622146545, -120.508992660283 40.4017088533809, -120.508934216041 40.4015868819291, -120.508480637571 40.4015602008427, -120.508475556402 40.4013378587552, -120.508373914125 40.4013353181704, -120.508343420812 40.4010812120284, -120.509460776294 40.4010983522072, -120.509460562255 40.4010922835821, -120.510586570114 40.4011081206433, -120.510592652229 40.4011138817003, -120.510618934916 40.4011129751837, -120.510779021435 40.4011866656322, -120.510961687232 40.4013794236216, -120.511078296026 40.4016133894464))",None,True,-120.51004710820791,40.40164182151751,06035040400,,,,,,,,,
10000772,Herlong Fci,741-925 Access Rd A-25,Herlong,CA,96113,(530) 827-8000,FEDERAL,OPEN,1354.0,LASSEN,06035,USA,https://www.bop.gov/locations/institutions/her/,MEDIUM,,"POLYGON ((-120.168233230079 40.1486441981713, -120.168161379644 40.1538008298445, -120.168015237113 40.1539055001387, -120.164350590607 40.1538670190478, -120.164149869121 40.1537362917965, -120.16422151631 40.1485921795855, -120.1643813762 40.1484818012942, -120.168056876624 40.1485160555716, -120.168233230079 40.1486441981713))",None,False,-120.16619206516067,40.151192472135286,06035040600,,,,,,,,,
10000814,Ben Lomond Conservation Camp #45,13575 Empire Grade Road,Santa Cruz,CA,95060,(831) 423-1652,STATE,OPEN,,SANTA CRUZ,06087,USA,https://www.cdcr.ca.gov/facility-locator/conservation-camps/ben-lomond/,MINIMUM,,"POLYGON ((-122.168372333217 37.1308226440498, -122.167783013775 37.13033437693, -122.167702126952 37.1298829586317, -122.167806124553 37.129735556151, -122.168398158148 37.1294115016395, -122.169839851428 37.130343589585, -122.170822048699 37.129947447217, -122.171076264558 37.1302238259689, -122.170094067287 37.1307950060847, -122.168372333217 37.1308226440498))",None,True,-122.16906706770419,37.130265033493735,06087120200,,,,,,,,,
10002347,Calipatria State Prison,7018 Blair Road,Calipatria,CA,92233,(760) 348-7000,STATE,OPEN,,IMPERIAL,06025,USA,https://www.cdcr.ca.gov/facility-locator/cal/,MAXIMUM,2308.0,"MULTIPOLYGON (((-115.479895783563 33.1638118198596, -115.480130244016 33.1636363090685, -115.48905335333 33.1636386302187, -115.489277941024 33.163773943113, -115.489888534828 33.1654578391081, -115.48987425809 33.1656577143321, -115.489360452923 33.1667435359855, -115.489046206417 33.1672709892648, -115.488931991618 33.1673780652455, -115.487004627561 33.1681918401814, -115.482428924655 33.1682203936563, -115.482186220118 33.1681775634439, -115.480287410436 33.1673852031647, -115.479338005145 33.1656220220387, -115.479323728407 33.1654792546639, -115.479895783563 33.1638118198596)), ((-115.4773392583 33.1638201493804, -115.477246459057 33.1633918463567, -115.477953158911 33.1626922853208, -115.47846712236 33.1626994232398, -115.478824040797 33.1629920968079, -115.478824040797 33.1636274129748, -115.478617027654 33.1636202741564, -115.47858133626 33.1636987966622, -115.478567058623 33.1642056221918, -115.477610516312 33.164191344555, -115.4773392583 33.1638201493804)))",CAL,False,-115.4843440200192,33.16569335411168,06025010101,2462.0,,1.0667244367417679,1992.0,,,,,
10002348,Centinela State Prison,2302 Brown Road,Imperial,CA,92251,(760) 337-7900,STATE,OPEN,,IMPERIAL,06025,USA,https://www.cdcr.ca.gov/facility-locator/cen/,MAXIMUM,2308.0,"POLYGON ((-115.786668598877 32.8257026386659, -115.78465307428 32.8247838858677, -115.783840210357 32.8230022767338, -115.784591278265 32.8211886751173, -115.78686825017 32.821196663795, -115.791431699813 32.8213404752827, -115.793532788607 32.8214603180393, -115.793722933167 32.8215961390506, -115.794302870881 32.8233338351884, -115.793323630581 32.8250635075748, -115.791227295603 32.8258384542813, -115.786668598877 32.8257026386659))",CEN,False,-115.7890554901459,32.82339731050856,06025012301,2984.0,,1.292894280762565,1993.0,,,,,
10006310,Adelanto Ice Processing Center,10400 Rancho Road,Adelanto,CA,92301,(760) 561-6100,FEDERAL,OPEN,7.0,SAN BERNARDINO,06071,USA,https://www.geogroup.com/FacilityDetail/FacilityID/24,NOT AVAILABLE,1940.0,"MULTIPOLYGON (((-117.440716684228 34.5584804048469, -117.441005588737 34.5584804048469, -117.441007339717 34.558507802693, -117.441394299108 34.5585121293313, -117.441397363997 34.5587141098683, -117.441848354218 34.5587204428942, -117.441849544021 34.5585842279798, -117.441998373726 34.5585871121056, -117.441993890606 34.5587224861538, -117.442725016047 34.5587327528144, -117.442863339871 34.5588394591737, -117.442857211891 34.5603513607268, -117.44270614827 34.5604746191084, -117.439958525166 34.5604696008914, -117.439815823441 34.5603499191135, -117.439821951422 34.5589158835612, -117.439958525166 34.5587875476073, -117.440145224423 34.5587944040386, -117.440144124552 34.5586332563198, -117.440250933434 34.5586332563198, -117.440247430574 34.5585712498633, -117.440483808381 34.5585712498633, -117.440485559361 34.5587601497611, -117.440673272154 34.5587555362391, -117.440720185288 34.5587543824089, -117.440716684228 34.5584804048469)), ((-117.438607361241 34.5604554518576, -117.43862418306 34.5589065539943, -117.439456003792 34.5588985797057, -117.439452501831 34.5611552449187, -117.438599793446 34.5611523616922, -117.438601484171 34.5609966323887, -117.438531506124 34.5609966323887, -117.438531506124 34.5608351339343, -117.43840894022 34.5608351339343, -117.438415944141 34.5604544599054, -117.438607361241 34.5604554518576)))",None,False,-117.44071494857548,34.55969543666143,06071009133,,0.0036082474226804126,,,,,,,
10005361,El Centro Service Processing Center,1115 North Imperial Avenue,El Centro,CA,92243,(760) 259-2500,FEDERAL,OPEN,,IMPERIAL,06025,USA,https://www.geogroup.com/FacilityDetail/FacilityID/269,NOT AVAILABLE,,"POLYGON ((-115.56790227437 32.8036898636963, -115.565783040855 32.8036839632443, -115.565780661248 32.8023337615939, -115.567819775962 32.8023399021648, -115.567805733947 32.8032516816199, -115.567875542922 32.8032524541375, -115.567939134883 32.8032531583067, -115.567939134883 32.8035393783397, -115.567907539901 32.8035393783397, -115.56790227437 32.8036898636963))",None,False,-115.56681652692427,32.80301930673736,06025011500,,,,,,,,,
10006491,Covina Jail,444 N Citrus Avenue,Covina,CA,91723,(626) 384-5638,LOCAL,OPEN,,LOS ANGELES,06037,USA,https://covinaca.gov/police/page/covina-jail,NOT AVAILABLE,20.0,"POLYGON ((-117.88890987609 34.0901314130343, -117.888353082429 34.0901278427258, -117.888353082429 34.0899065537445, -117.888602925784 34.0899065537445, -117.888602925784 34.0897209561572, -117.88890987609 34.0897245246671, -117.88890987609 34.0901314130343))",None,False,-117.88867085572221,34.08995454335269,06037406101,,,,,,,,,
10000781,Sacramento County Work Release,700 N 5Th St,Sacramento,CA,95814,(916) 874-1402,COUNTY,OPEN,1700.0,SACRAMENTO,06067,USA,https://www.sacsheriff.com/pages/organization/work_release/workrelease.aspx,MINIMUM,,"POLYGON ((-121.494300654352 38.6007362959434, -121.493751978871 38.6006054490823, -121.493879062069 38.6002980392232, -121.493671291697 38.600247591753, -121.493745928232 38.6000552627402, -121.493804426433 38.6000694513441, -121.493893183224 38.5998518981466, -121.494617353308 38.6000410750356, -121.494300654352 38.6007362959434))",None,False,-121.49413045068549,38.600280065057795,06067005301,,,,,,,,,
10000859,Larry D Smith Correctional Facility,1627 South Hargrave Street,Banning,CA,92220,(951) 922-7300,COUNTY,OPEN,,RIVERSIDE,06065,USA,https://ca-riversidesheriff-hidden.civicplus.com/677/Larry-D-Smith-Correctional-Facility,NOT AVAILABLE,,"POLYGON ((-116.866378027024 33.9103473753312, -116.866371569892 33.9096419300311, -116.867210578905 33.9093993064329, -116.868075733009 33.9093973333203, -116.868111384833 33.9094091692978, -116.869057351116 33.9095531651465, -116.869744245201 33.9095650002246, -116.869841693939 33.9095630280114, -116.870483428567 33.9093993064329, -116.870675950035 33.9093361839178, -116.870816181322 33.9092868695934, -116.87115843991 33.9091172295765, -116.871210729192 33.9091113129368, -116.871286786656 33.9090560810733, -116.872332576787 33.9090560810733, -116.87308839941 33.9096892712429, -116.87308839941 33.9097602817117, -116.87344254164 33.9100758888912, -116.873445394289 33.9107790957787, -116.868119030869 33.9107690026874, -116.868119030869 33.9103498412722, -116.866378027024 33.9103473753312))",None,False,-116.87021077101805,33.91003189843904,06065044300,,,,,,,,,
10000835,Glen Helen Rehabilitation Center,18000 Institution Road,Devore,CA,92407,(909) 708-8371,COUNTY,OPEN,800.0,SAN BERNARDINO,06071,USA,https://wp.sbcounty.gov/sheriff/corrections/glen-helen-rehabilitation-center/,MAXIMUM,1446.0,"POLYGON ((-117.389783982145 34.1794702296674, -117.387057320439 34.1784249476532, -117.386613809879 34.1777654460186, -117.387412414152 34.1773949909861, -117.387771785939 34.177392631165, -117.38776893329 34.1770481287682, -117.387667682218 34.1768687985562, -117.3874780134 34.176625758572, -117.387492273949 34.1765431720298, -117.387891616105 34.1763515678706, -117.388267744061 34.1761726288638, -117.388223772609 34.1761131468043, -117.388364538992 34.1760392117403, -117.388830391409 34.1758091471744, -117.389091363875 34.1757359981179, -117.389329518742 34.1757053231422, -117.389537726185 34.1756970637685, -117.389857168074 34.1758610587409, -117.391162028605 34.1766987268648, -117.391277542025 34.1765748470516, -117.391906442428 34.1769807002991, -117.391949224977 34.1772060434242, -117.389783982145 34.1794702296674))",None,False,-117.38931449983622,34.17753047412101,06071002706,,0.5532503457814661,,,,,,,
10001539,Oxnard City Jail,251 South C Street,Oxnard,CA,93030,(805) 385-7671,LOCAL,OPEN,,VENTURA,06111,USA,https://www.oxnardpd.org/,NOT AVAILABLE,,"POLYGON ((-119.181694481415 34.2010558338597, -119.181285672096 34.2010558338597, -119.181285672096 34.2006322073105, -119.181694481415 34.2006312243516, -119.181694481415 34.2010558338597))",None,False,-119.18149015571184,34.200843775017155,06111008700,,,,,,,,,
